PLAYER_NAME,GP,G,AVG_SEAS_ADJ_GPG,ADJ_G,ADJ_GPG,A,AVG_SEAS_ADJ_APG,ADJ_A,ADJ_APG,PTS,AVG_SEAS_ADJ_PTSPG,ADJ_PTS,ADJ_PTSPG
A.J. Greer,37,1,0.022601391,1.017062617,0.027488179,5,0.152706278,5.064386734,0.136875317,6,0.176648144,6.122667597,0.165477503
Aaron Broten,748,186,0.180305393,149.5966116,0.19999547,329,0.301439057,260.9193279,0.348822631,515,0.481605479,410.4735686,0.548761455
Aaron Downey,243,8,0.053139266,8.601246489,0.035396076,10,0.050449761,10.19464158,0.041953258,18,0.102859068,18.73417727,0.07709538
Aaron Ekblad,458,71,0.165148088,76.77702778,0.167635432,141,0.320842621,145.8420801,0.318432489,212,0.486526411,222.8443117,0.486559633
Aaron Gagnon,38,3,0.0857004,3.428016008,0.090210948,2,0.02782357,2.114591319,0.05564714,5,0.111148272,5.465767391,0.143835984
Aaron Gavey,360,41,0.085928197,44.02946901,0.122304081,50,0.125224278,53.15078477,0.147641069,91,0.21117392,97.00813303,0.269467036
Aaron Johnson,291,17,0.057787299,18.52168639,0.063648407,45,0.146610519,46.85459925,0.161012369,62,0.205362503,65.68500186,0.225721656
Aaron MacKenzie,5,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Miller,677,25,0.032137686,27.99328851,0.041349023,94,0.134286741,99.58379305,0.147095706,119,0.167488387,128.4091246,0.189673744
Aaron Ness,71,1,0.009451863,1.134223545,0.01597498,6,0.09173482,6.361239881,0.089594928,7,0.10205133,7.546930363,0.106294794
Aaron Palushaj,68,3,0.030336889,3.423139467,0.050340286,11,0.104357554,11.91993102,0.175293103,14,0.135777204,15.46721196,0.227458999
Aaron Rome,226,6,0.023917658,6.782599004,0.0300115,22,0.092840349,23.43018078,0.103673366,28,0.117872975,30.46625669,0.134806446
Aaron Volpatti,114,5,0.042697705,5.660935655,0.04965733,2,0.020655639,2.13934586,0.018766192,7,0.062418238,7.666248712,0.067247796
Aaron Voros,162,18,0.094975927,19.61376673,0.121072634,19,0.096132347,19.584348,0.120891037,37,0.189843992,38.93247923,0.240323946
Aaron Ward,839,44,0.062377302,48.25473622,0.057514584,107,0.178746278,111.6035171,0.133019687,151,0.241978934,160.4934846,0.1912914
Ab DeMarco,554,116,0.189038337,102.9634257,0.185854559,175,0.287994789,183.1128378,0.330528588,291,0.476884946,285.1088547,0.514636922
Ab McDonald,762,182,0.222776803,190.9050303,0.250531536,248,0.304905041,259.5055512,0.340558466,430,0.527354328,450.1400928,0.59073503
Ace Bailey,568,107,0.185676325,100.2842645,0.176556804,171,0.281776034,159.6835093,0.281132939,278,0.467404528,259.9866928,0.457723051
Ace Bailey*,316,111,0.497396499,164.980243,0.522089376,81,0.776067247,252.363066,0.798617297,192,1.273468243,418.3149797,1.323781581
Adam Almqvist,2,1,0.567111773,1.134223545,0.567111773,0,0,0,0,1,0.550177434,1.100354868,0.550177434
Adam Bennett,69,3,0.019475825,2.804518757,0.040645199,8,0.072152765,7.134549996,0.103399275,11,0.092010455,9.961770491,0.144373485
Adam Berti,2,0,0,0,0,0,0,0,0,0,0,0,0
Adam Boqvist,41,4,0.099314797,4.071906697,0.099314797,9,0.217650307,8.923662581,0.217650307,13,0.317513826,13.01806687,0.317513826
Adam Brooks,7,0,0,0,0,3,0.424751579,2.97326105,0.424751579,3,0.42891013,3.002370913,0.42891013
Adam Brown,392,104,0.245465669,100.2321438,0.255694244,114,0.326124027,134.923866,0.344193536,218,0.577123306,237.3704319,0.605536816
Adam Burish,378,27,0.062667852,29.94306789,0.079214465,33,0.089975066,35.12635541,0.092926866,60,0.152403582,64.79148759,0.171406052
Adam Burt,737,37,0.04385375,34.16052669,0.046350782,115,0.136404314,108.5237436,0.14725067,152,0.180776605,143.077367,0.194134826
Adam Clendening,90,4,0.033015715,4.497304152,0.049970046,20,0.219267271,21.59505058,0.239945006,24,0.254346655,26.26112389,0.291790265
Adam Cracknell,210,21,0.121452886,23.56710215,0.112224296,22,0.08559009,23.81433964,0.113401617,43,0.205134768,47.2206711,0.224860339
Adam Creighton,708,187,0.20176077,161.8378579,0.228584545,216,0.241262781,183.1379876,0.258669474,403,0.44237624,344.3080653,0.486310827
Adam Deadmarsh,567,184,0.380167123,201.9343353,0.356145212,189,0.33658645,201.8120574,0.355929554,373,0.713190762,402.400553,0.709701152
Adam Erne,170,15,0.102277202,15.59490624,0.091734743,17,0.073473312,16.79969144,0.098821714,32,0.174629277,32.29170993,0.189951235
Adam Foote,1154,66,0.058841033,71.03729347,0.061557447,242,0.218087568,252.2193127,0.21856093,308,0.278540433,325.0358751,0.281660204
Adam Fox,70,8,0.116380463,8.146632405,0.116380463,34,0.482727826,33.79094783,0.482727826,42,0.601797029,42.12579206,0.601797029
Adam Gaudette,120,17,0.099352411,17.31289799,0.14427415,28,0.158852761,27.74714773,0.231226231,45,0.258160779,45.05305516,0.375442126
Adam Graves,1152,329,0.268382938,331.2477664,0.287541464,287,0.22795682,275.4149335,0.239075463,616,0.494255816,604.017705,0.524320924
Adam Hall,682,69,0.092119395,76.19040644,0.111716138,87,0.219274875,91.25258809,0.133801449,156,0.311965547,166.8436073,0.24463872
