"SEASON","TEAM_COUNT","TM_GP_TOT","LEAG_GP","PLAYER_COUNT","GP_TOT","G_TOT","A_TOT","PTS_TOT","GPG_TOT","APG_TOT","PTSPG_TOT","LEAG_GPG","LEAG_APG","LEAG_PTSPG","LEAG_GPG_ADJFAC","LEAG_APG_ADJFAC","LEAG_PTSPG_ADJFAC","LEAG_ADJ_GPG","LEAG_ADJ_APG","LEAG_ADJ_PTSPG","GPG_ADJ_CHG","APG_ADJ_CHG","PTSPG_ADJ_CHG"
1922,4,96,48,40,776,359,219,578,0.4626,0.2822,0.7448,7.47916666666667,4.5625,12.0416666666667,0.810161876825194,2.1628662699596,1.32269174204394,6.0593357037551,9.86807735669066,15.9274130604458,-0.189838123174806,1.1628662699596,0.322691742043938
1923,4,96,48,40,770,313,210,523,0.4065,0.2727,0.6792,6.52083333333333,4.375,10.8958333333333,0.929227200575861,2.25556053867215,1.46178934397972,6.0593357037551,9.86807735669066,15.9274130604458,-0.0707727994241387,1.25556053867215,0.461789343979725
1924,4,96,48,47,825,255,142,397,0.3091,0.1721,0.4812,5.3125,2.95833333333333,8.27083333333333,1.1405808383539,3.33568812057149,1.92573256146447,6.0593357037551,9.86807735669066,15.9274130604458,0.1405808383539,2.33568812057149,0.925732561464474
1925,6,180,90,71,1509,426,271,697,0.2823,0.1796,0.4619,4.73333333333333,3.01111111111111,7.74444444444444,1.28014134586375,3.27722126236959,2.05662435500734,6.0593357037551,9.86807735669066,15.9274130604458,0.280141345863752,2.27722126236959,1.05662435500734
1926,7,252,126,94,2473,579,253,832,0.2341,0.1023,0.3364,4.59523809523809,2.00793650793651,6.6031746031746,1.31861191480681,4.91453654918191,2.41208418944251,6.0593357037551,9.86807735669066,15.9274130604458,0.318611914806808,3.91453654918191,1.41208418944251
1927,10,440,220,135,4445,879,425,1304,0.1978,0.0956,0.2934,3.99545454545455,1.93181818181818,5.92727272727273,1.51655728649161,5.10818121993399,2.68714024025925,6.0593357037551,9.86807735669066,15.9274130604458,0.516557286491605,4.10818121993399,1.68714024025925
1928,10,440,220,132,4375,822,416,1238,0.1879,0.0951,0.283,3.73636363636364,1.89090909090909,5.62727272727273,1.62172001803664,5.21869475594218,2.83039650508729,6.0593357037551,9.86807735669066,15.9274130604458,0.621720018036643,4.21869475594218,1.83039650508729
1929,10,440,220,131,4432,632,385,1017,0.1426,0.0869,0.2295,2.87272727272727,1.75,4.62272727272727,2.10926242852234,5.63890134668038,3.44545808583881,6.05933570375509,9.86807735669066,15.9274130604458,1.10926242852234,4.63890134668038,2.44545808583881
1930,10,440,220,142,5178,1301,1094,2395,0.2513,0.2113,0.4625,5.91363636363636,4.97272727272727,10.8863636363636,1.02463785920532,1.98443968781713,1.46306090743134,6.0593357037551,9.86807735669066,15.9274130604458,0.0246378592053196,0.984439687817135,0.463060907431343
1931,10,440,220,168,5491,1054,976,2030,0.192,0.1777,0.3697,4.79090909090909,4.43636363636364,9.22727272727273,1.2647569780134,2.22436169925404,1.72612358290545,6.0593357037551,9.86807735669066,15.9274130604458,0.264756978013397,1.22436169925404,0.726123582905451
1932,8,384,192,129,4736,925,974,1899,0.1953,0.2057,0.401,4.81770833333333,5.07291666666667,9.890625,1.25772157310376,1.94524728181171,1.61035455903401,6.0593357037551,9.86807735669066,15.9274130604458,0.25772157310376,0.945247281811711,0.61035455903401
1933,9,432,216,156,5677,968,1169,2137,0.1705,0.2059,0.3764,4.48148148148148,5.41203703703704,9.89351851851852,1.35208317356519,1.82335732168108,1.60988358495849,6.0593357037551,9.86807735669066,15.9274130604458,0.352083173565186,0.82335732168108,0.609883584958485
1934,9,432,216,157,5827,1038,1181,2219,0.1781,0.2027,0.3808,4.80555555555556,5.46759259259259,10.2731481481481,1.260902227371,1.80483040562674,1.55039261877255,6.0593357037551,9.86807735669066,15.9274130604458,0.260902227371002,0.804830405626742,0.550392618772547
1935,9,432,216,165,5833,1051,1399,2450,0.1802,0.2398,0.42,4.86574074074074,6.47685185185185,11.3425925925926,1.24530591057193,1.52359164334895,1.40421274328828,6.05933570375509,9.86807735669066,15.9274130604458,0.245305910571932,0.523591643348951,0.404212743288279
1936,8,384,192,156,5244,831,1166,1997,0.1585,0.2223,0.3808,4.328125,6.07291666666667,10.4010416666667,1.3999909207232,1.62493212048423,1.53132864677295,6.0593357037551,9.86807735669066,15.9274130604458,0.399990920723199,0.624932120484225,0.531328646772952
1937,8,384,192,160,5289,946,1199,2145,0.1789,0.2267,0.4056,4.92708333333333,6.24479166666667,11.171875,1.22980174959934,1.58020921808558,1.42567053967626,6.0593357037551,9.86807735669066,15.9274130604458,0.229801749599343,0.580209218085577,0.425670539676264
1938,8,384,192,153,5300,972,1363,2335,0.1834,0.2572,0.4406,5.0625,7.09895833333333,12.1614583333333,1.1969058180257,1.39007399301879,1.30966308676899,6.0593357037551,9.86807735669066,15.9274130604458,0.196905818025698,0.390073993018787,0.309663086768987
1939,7,336,168,141,4711,843,1303,2146,0.1789,0.2766,0.4555,5.01785714285714,7.75595238095238,12.7738095238095,1.20755444629995,1.27232309740908,1.24688042598084,6.0593357037551,9.86807735669066,15.9274130604458,0.207554446299948,0.27232309740908,0.246880425980842
1940,7,336,168,136,4527,829,1210,2039,0.1831,0.2673,0.4504,4.93452380952381,7.20238095238095,12.1369047619048,1.2279474043798,1.37011321977193,1.3123126013511,6.0593357037551,9.86807735669066,15.9274130604458,0.227947404379802,0.370113219771926,0.312312601351097
1941,7,336,168,139,4580,899,1351,2250,0.1963,0.295,0.4913,5.35119047619048,8.04166666666667,13.3928571428571,1.1323341470866,1.227118427775,1.18924684184662,6.0593357037551,9.86807735669066,15.9274130604458,0.132334147086603,0.227118427775005,0.189246841846616
1942,7,336,168,147,4579,1047,1623,2670,0.2287,0.3544,0.5831,6.23214285714286,9.66071428571429,15.8928571428571,0.972271631548095,1.02146456926927,1.00217430492692,6.0593357037551,9.86807735669066,15.9274130604458,-0.0277283684519045,0.0214645692692735,0.00217430492692381
1943,6,300,150,131,3873,1083,1649,2732,0.2796,0.4258,0.7054,7.22,10.9933333333333,18.2133333333333,0.839243172265249,0.897641966951849,0.874491932308515,6.0593357037551,9.86807735669066,15.9274130604458,-0.160756827734751,-0.102358033048151,-0.125508067691485
1944,6,300,150,137,3668,1225,1751,2976,0.334,0.4774,0.8113,8.16666666666667,11.6733333333333,19.84,0.741959473929195,0.845352143634266,0.802792996998274,6.0593357037551,9.86807735669066,15.9274130604458,-0.258040526070805,-0.154647856365734,-0.197207003001726
1945,6,300,150,117,3886,1103,1326,2429,0.2838,0.3412,0.6251,7.35333333333333,8.84,16.1933333333333,0.82402570767295,1.11629834351704,0.983578410484505,6.0593357037551,9.86807735669066,15.9274130604458,-0.17597429232705,0.116298343517043,-0.0164215895154947
1946,6,300,150,128,4151,1003,1144,2147,0.2416,0.2756,0.5172,6.68666666666667,7.62666666666667,14.3133333333333,0.906181810132866,1.29389126180385,1.11276756360823,6.0593357037551,9.86807735669066,15.9274130604458,-0.0938181898671343,0.293891261803845,0.112767563608227
1947,6,360,180,136,5248,1138,1479,2617,0.2168,0.2818,0.4987,6.32222222222222,8.21666666666667,14.5388888888889,0.958418652615041,1.20098304543903,1.09550414630502,6.0593357037551,9.86807735669066,15.9274130604458,-0.0415813473849586,0.200983045439026,0.0955041463050195
1948,6,360,180,132,5241,1054,1444,2498,0.2011,0.2755,0.4766,5.85555555555556,8.02222222222222,13.8777777777778,1.03480116382914,1.23009274529385,1.14769189386719,6.0593357037551,9.86807735669066,15.9274130604458,0.0348011638291434,0.23009274529385,0.147691893867188
1949,6,360,180,131,5345,978,1332,2310,0.183,0.2492,0.4322,5.43333333333333,7.4,12.8333333333333,1.11521516020032,1.33352396712036,1.24109712159318,6.0593357037551,9.86807735669066,15.9274130604458,0.115215160200324,0.333523967120359,0.241097121593176
1950,6,420,210,151,6532,1148,1664,2812,0.1758,0.2547,0.4305,5.46666666666667,7.92380952380952,13.3904761904762,1.10841506776008,1.2453703394862,1.18945830110015,6.0593357037551,9.86807735669066,15.9274130604458,0.108415067760078,0.245370339486201,0.189458301100145
1951,6,420,210,152,6594,1139,1637,2776,0.1727,0.2483,0.421,5.42380952380952,7.7952380952381,13.2190476190476,1.11717339577574,1.26591096206783,1.20488355284352,6.0593357037551,9.86807735669066,15.9274130604458,0.117173395775742,0.265910962067831,0.204883552843519
1952,6,420,210,143,6171,1090,1630,2720,0.1766,0.2641,0.4408,5.19047619047619,7.76190476190476,12.952380952381,1.16739495209961,1.27134738951229,1.22968997893147,6.0593357037551,9.86807735669066,15.9274130604458,0.167394952099605,0.271347389512294,0.229689978931474
1953,6,420,210,143,6285,1006,1513,2519,0.1601,0.2407,0.4008,4.79047619047619,7.2047619047619,11.9952380952381,1.26487127016756,1.36966043946136,1.32781133096213,6.0593357037551,9.86807735669066,15.9274130604458,0.264871270167565,0.369660439461361,0.327811330962131
1954,6,420,210,138,6440,1009,1555,2564,0.1567,0.2415,0.3981,4.8047619047619,7.40476190476191,12.2095238095238,1.26111050325924,1.33266639543732,1.30450730994291,6.0593357037551,9.86807735669066,15.9274130604458,0.261110503259237,0.332666395437324,0.304507309942905
1955,6,420,210,139,6414,1059,1650,2709,0.1651,0.2572,0.4224,5.04285714285714,7.85714285714286,12.9,1.20156798658033,1.25593711812427,1.23468318298029,6.0593357037551,9.86807735669066,15.9274130604458,0.201567986580331,0.255937118124266,0.234683182980291
1956,6,420,210,131,6456,1064,1691,2755,0.1648,0.2619,0.4267,5.06666666666667,8.05238095238095,13.1190476190476,1.19592152047798,1.22548565636016,1.21406778319187,6.0593357037551,9.86807735669066,15.9274130604458,0.195921520477979,0.225485656360165,0.214067783191872
1957,6,420,210,137,6446,1130,1820,2950,0.1753,0.2823,0.4576,5.38095238095238,8.66666666666667,14.047619047619,1.12607123698104,1.13862431038738,1.13381584498088,6.0593357037551,9.86807735669066,15.9274130604458,0.126071236981035,0.138624310387384,0.133815844980884
1958,6,420,210,144,6491,1175,1942,3117,0.181,0.2992,0.4802,5.59523809523809,9.24761904761905,14.8428571428571,1.08294510450091,1.06709384392638,1.07306921485198,6.0593357037551,9.86807735669066,15.9274130604458,0.0829451045009107,0.0670938439263846,0.0730692148519758
1959,6,420,210,126,6624,1217,1986,3203,0.1837,0.2998,0.4835,5.7952380952381,9.45714285714286,15.252380952381,1.04557148544665,1.04345228847182,1.04425749069423,6.0593357037551,9.86807735669066,15.9274130604458,0.0455714854466476,0.0434522884718221,0.0442574906942267
1960,6,420,210,138,6752,1238,2060,3298,0.1834,0.3051,0.4884,5.8952380952381,9.80952380952381,15.7047619047619,1.02783562018463,1.00596905092478,1.01417730221152,6.0593357037551,9.86807735669066,15.9274130604458,0.0278356201846283,0.00596905092477601,0.0141773022115248
1961,6,420,210,143,6653,1246,2042,3288,0.1873,0.3069,0.4942,5.93333333333333,9.72380952380952,15.6571428571429,1.02123635456547,1.01483655480168,1.01726178305767,6.0593357037551,9.86807735669066,15.9274130604458,0.0212363545654654,0.0148365548016841,0.0172617830576668
1962,6,420,210,135,6502,1264,2089,3353,0.1944,0.3213,0.5157,6.01904761904762,9.94761904761905,15.9666666666667,1.00669343179475,0.992003946819071,0.997541527794097,6.0593357037551,9.86807735669066,15.9274130604458,0.00669343179475472,-0.00799605318092931,-0.00245847220590264
1963,6,420,210,136,6568,1249,2022,3271,0.1902,0.3079,0.498,5.94761904761905,9.62857142857143,15.5761904761905,1.01878342497083,1.0248745029204,1.02254868318362,6.05933570375509,9.86807735669066,15.9274130604458,0.0187834249708324,0.0248745029203952,0.0225486831836162
1964,6,420,210,150,6595,1166,1912,3078,0.1768,0.2899,0.4667,5.55238095238095,9.1047619047619,14.6571428571429,1.09130402897819,1.08383694817209,1.08666560841248,6.0593357037551,9.86807735669066,15.9274130604458,0.0913040289781904,0.0838369481720916,0.0866656084124784
1965,6,420,210,154,6669,1208,1955,3163,0.1811,0.2931,0.4743,5.75238095238095,9.30952380952381,15.0619047619048,1.05336133922895,1.05999807923531,1.0574634026853,6.0593357037551,9.86807735669066,15.9274130604458,0.0533613392289486,0.0599980792353138,0.0574634026853013
